DATE,EVZCLS
2015-01-05,10.01
2015-01-06,10.02
2015-01-07,10.44
2015-01-08,10.24
2015-01-09,9.92
2015-01-12,10.29
2015-01-13,10.36
2015-01-14,10.59
2015-01-15,14.14
2015-01-16,14.55
2015-01-19,.
2015-01-20,13.38
2015-01-21,13.64
2015-01-22,11.62
2015-01-23,11.62
2015-01-26,13.61
2015-01-27,13.50
2015-01-28,13.04
2015-01-29,12.57
2015-01-30,12.68
2015-02-02,12.62
2015-02-03,12.20
2015-02-04,12.48
2015-02-05,12.55
2015-02-06,12.42
2015-02-09,13.51
2015-02-10,13.19
2015-02-11,13.07
2015-02-12,12.46
2015-02-13,11.61
2015-02-16,.
2015-02-17,11.95
2015-02-18,11.60
2015-02-19,11.93
2015-02-20,11.60
2015-02-23,11.15
2015-02-24,10.20
2015-02-25,8.97
2015-02-26,10.19
2015-02-27,10.25
2015-03-02,10.38
2015-03-03,10.29
2015-03-04,11.01
2015-03-05,10.77
2015-03-06,10.95
2015-03-09,10.96
2015-03-10,12.46
2015-03-11,14.09
2015-03-12,13.53
2015-03-13,14.23
2015-03-16,13.90
2015-03-17,13.99
2015-03-18,12.95
2015-03-19,13.54
2015-03-20,13.32
2015-03-23,14.05
2015-03-24,13.08
2015-03-25,12.41
2015-03-26,13.19
2015-03-27,13.33
2015-03-30,14.07
2015-03-31,13.78
2015-04-01,13.29
2015-04-02,13.58
2015-04-03,.
2015-04-06,12.32
2015-04-07,12.00
2015-04-08,11.57
2015-04-09,12.25
2015-04-10,12.14
2015-04-13,12.68
2015-04-14,12.28
2015-04-15,12.47
2015-04-16,13.09
2015-04-17,12.92
2015-04-20,13.23
2015-04-21,13.19
2015-04-22,13.03
2015-04-23,13.00
2015-04-24,12.93
2015-04-27,13.00
2015-04-28,12.15
2015-04-29,12.44
2015-04-30,13.52
2015-05-01,13.89
2015-05-04,14.03
2015-05-05,13.57
2015-05-06,13.76
2015-05-07,13.59
2015-05-08,11.77
2015-05-11,12.40
2015-05-12,12.31
2015-05-13,11.84
2015-05-14,12.39
2015-05-15,12.11
2015-05-18,12.36
2015-05-19,13.48
2015-05-20,13.26
2015-05-21,12.79
2015-05-22,13.29
2015-05-25,.
2015-05-26,13.95
2015-05-27,13.35
2015-05-28,13.32
2015-05-29,12.88
2015-06-01,13.71
2015-06-02,13.56
2015-06-03,13.42
2015-06-04,13.98
2015-06-05,14.22
2015-06-08,14.57
2015-06-09,14.44
2015-06-10,14.84
2015-06-11,14.30
2015-06-12,14.84
2015-06-15,15.05
2015-06-16,14.39
2015-06-17,12.93
2015-06-18,12.78
2015-06-19,13.72
2015-06-22,12.81
2015-06-23,12.85
2015-06-24,12.32
2015-06-25,12.39
2015-06-26,13.05
2015-06-29,14.31
2015-06-30,14.10
2015-07-01,13.36
2015-07-02,12.90
2015-07-03,.
2015-07-06,13.47
2015-07-07,13.89
2015-07-08,14.23
2015-07-09,13.90
2015-07-10,12.81
2015-07-13,12.33
2015-07-14,12.17
2015-07-15,11.46
2015-07-16,11.26
2015-07-17,10.52
2015-07-20,10.42
2015-07-21,10.54
2015-07-22,10.90
2015-07-23,11.06
2015-07-24,11.02
2015-07-27,11.30
2015-07-28,11.07
2015-07-29,10.55
2015-07-30,10.90
2015-07-31,10.94
2015-08-03,11.01
2015-08-04,10.97
2015-08-05,11.54
2015-08-06,11.16
2015-08-07,10.57
2015-08-10,10.43
2015-08-11,11.00
2015-08-12,10.99
2015-08-13,10.61
2015-08-14,10.11
2015-08-17,10.46
2015-08-18,10.83
2015-08-19,10.63
2015-08-20,10.49
2015-08-21,11.18
2015-08-24,12.98
2015-08-25,12.77
2015-08-26,13.54
2015-08-27,13.17
2015-08-28,12.68
2015-08-31,13.41
2015-09-01,13.47
2015-09-02,12.88
2015-09-03,12.68
2015-09-04,12.43
2015-09-07,.
2015-09-08,12.20
2015-09-09,11.96
2015-09-10,12.06
2015-09-11,11.99
2015-09-14,11.92
2015-09-15,11.84
2015-09-16,11.89
2015-09-17,11.22
2015-09-18,10.94
2015-09-21,10.97
2015-09-22,11.44
2015-09-23,11.11
2015-09-24,11.01
2015-09-25,11.10
2015-09-28,11.21
2015-09-29,11.17
2015-09-30,10.92
2015-10-01,10.64
2015-10-02,10.11
2015-10-05,10.28
2015-10-06,10.16
2015-10-07,10.02
2015-10-08,9.99
2015-10-09,9.80
2015-10-12,9.38
2015-10-13,9.47
2015-10-14,9.47
2015-10-15,10.00
2015-10-16,9.76
2015-10-19,9.99
2015-10-20,9.95
2015-10-21,10.05
2015-10-22,10.80
2015-10-23,12.09
2015-10-26,11.51
2015-10-27,10.89
2015-10-28,11.76
2015-10-29,11.42
2015-10-30,11.27
2015-11-02,11.59
2015-11-03,12.22
2015-11-04,13.03
2015-11-05,12.50
2015-11-06,12.00
2015-11-09,12.31
2015-11-10,12.65
2015-11-11,12.86
2015-11-12,12.86
2015-11-13,12.64
2015-11-16,13.89
2015-11-17,13.86
2015-11-18,13.63
2015-11-19,13.54
2015-11-20,13.48
2015-11-23,13.83
2015-11-24,13.70
2015-11-25,13.81
2015-11-26,.
2015-11-27,13.61
2015-11-30,13.80
2015-12-01,14.07
2015-12-02,14.08
2015-12-03,12.10
2015-12-04,10.99
2015-12-07,10.88
2015-12-08,10.67
2015-12-09,11.07
2015-12-10,10.75
2015-12-11,10.77
2015-12-14,10.76
2015-12-15,10.90
2015-12-16,9.72
2015-12-17,10.29
2015-12-18,9.70
2015-12-21,9.57
2015-12-22,9.67
2015-12-23,9.90
2015-12-24,9.74
2015-12-25,.
2015-12-28,10.16
2015-12-29,10.12
2015-12-30,10.01
2015-12-31,10.07
2016-01-01,.
2016-01-04,10.62
2016-01-05,10.60
2016-01-06,10.50
2016-01-07,10.94
2016-01-08,10.47
2016-01-11,10.32
2016-01-12,10.16
2016-01-13,9.79
2016-01-14,9.87
2016-01-15,10.37
2016-01-18,.
2016-01-19,10.01
2016-01-20,10.39
2016-01-21,9.93
2016-01-22,9.69
2016-01-25,9.92
2016-01-26,9.71
2016-01-27,9.71
2016-01-28,9.89
2016-01-29,10.12
2016-02-01,10.11
2016-02-02,10.16
2016-02-03,11.40
2016-02-04,11.49
2016-02-05,11.19
2016-02-08,12.85
2016-02-09,12.72
2016-02-10,13.21
2016-02-11,13.62
2016-02-12,12.90
2016-02-15,.
2016-02-16,13.13
2016-02-17,12.81
2016-02-18,12.66
2016-02-19,12.88
2016-02-22,12.99
2016-02-23,12.62
2016-02-24,13.17
2016-02-25,12.48
2016-02-26,12.79
2016-02-29,13.05
2016-03-01,12.55
2016-03-02,12.30
2016-03-03,12.39
2016-03-04,12.15
2016-03-07,12.58
2016-03-08,12.14
2016-03-09,12.55
2016-03-10,11.15
2016-03-11,10.32
2016-03-14,9.78
2016-03-15,9.91
2016-03-16,9.37
2016-03-17,9.45
2016-03-18,9.05
2016-03-21,8.95
2016-03-22,8.91
2016-03-23,9.15
2016-03-24,8.98
2016-03-25,.
2016-03-28,9.61
2016-03-29,9.09
2016-03-30,8.98
2016-03-31,9.46
2016-04-01,9.23
2016-04-04,9.38
2016-04-05,9.62
2016-04-06,9.83
2016-04-07,9.90
2016-04-08,9.50
2016-04-11,8.78
2016-04-12,8.83
2016-04-13,8.88
2016-04-14,8.88
2016-04-15,8.59
2016-04-18,8.56
2016-04-19,8.59
2016-04-20,8.69
2016-04-21,8.56
2016-04-22,8.79
2016-04-25,8.84
2016-04-26,8.82
2016-04-27,8.69
2016-04-28,8.69
2016-04-29,9.35
2016-05-02,9.92
2016-05-03,10.14
2016-05-04,10.15
2016-05-05,10.20
2016-05-06,9.52
2016-05-09,9.41
2016-05-10,9.22
2016-05-11,9.01
2016-05-12,9.07
2016-05-13,9.51
2016-05-16,9.14
2016-05-17,9.18
2016-05-18,9.88
2016-05-19,10.01
2016-05-20,9.71
2016-05-23,9.76
2016-05-24,10.03
2016-05-25,9.55
2016-05-26,9.31
2016-05-27,9.65
2016-05-30,.
2016-05-31,10.18
2016-06-01,10.47
2016-06-02,9.72
2016-06-03,9.17
2016-06-06,10.02
2016-06-07,9.93
2016-06-08,10.24
2016-06-09,11.15
2016-06-10,13.31
2016-06-13,13.36
2016-06-14,14.49
2016-06-15,12.78
2016-06-16,13.25
2016-06-17,13.33
2016-06-20,12.21
2016-06-21,12.37
2016-06-22,13.49
2016-06-23,11.90
2016-06-24,12.99
2016-06-27,12.88
2016-06-28,10.93
2016-06-29,10.32
2016-06-30,10.23
2016-07-01,9.91
2016-07-04,.
2016-07-05,10.54
2016-07-06,10.37
2016-07-07,10.10
2016-07-08,9.37
2016-07-11,9.16
2016-07-12,9.34
2016-07-13,8.87
2016-07-14,8.59
2016-07-15,8.58
