DATE,GVZCLS
2015-01-02,20.23
2015-01-05,21.26
2015-01-06,20.78
2015-01-07,20.35
2015-01-08,19.20
2015-01-09,18.44
2015-01-12,17.65
2015-01-13,17.63
2015-01-14,18.52
2015-01-15,21.83
2015-01-16,22.66
2015-01-19,.
2015-01-20,23.43
2015-01-21,22.34
2015-01-22,21.25
2015-01-23,20.62
2015-01-26,20.04
2015-01-27,20.16
2015-01-28,19.31
2015-01-29,20.25
2015-01-30,19.65
2015-02-02,20.33
2015-02-03,20.30
2015-02-04,20.36
2015-02-05,20.06
2015-02-06,20.59
2015-02-09,20.30
2015-02-10,19.71
2015-02-11,20.07
2015-02-12,19.31
2015-02-13,18.49
2015-02-16,.
2015-02-17,19.61
2015-02-18,19.54
2015-02-19,18.62
2015-02-20,19.26
2015-02-23,19.40
2015-02-24,18.77
2015-02-25,17.40
2015-02-26,16.65
2015-02-27,15.91
2015-03-02,16.38
2015-03-03,16.76
2015-03-04,16.66
2015-03-05,16.90
2015-03-06,18.43
2015-03-09,17.58
2015-03-10,18.97
2015-03-11,20.01
2015-03-12,19.07
2015-03-13,18.90
2015-03-16,19.14
2015-03-17,20.83
2015-03-18,18.65
2015-03-19,17.25
2015-03-20,17.21
2015-03-23,17.26
2015-03-24,16.84
2015-03-25,16.38
2015-03-26,16.02
2015-03-27,15.83
2015-03-30,16.64
2015-03-31,16.34
2015-04-01,16.04
2015-04-02,16.01
2015-04-03,.
2015-04-06,15.74
2015-04-07,15.20
2015-04-08,14.79
2015-04-09,15.00
2015-04-10,14.23
2015-04-13,14.79
2015-04-14,15.18
2015-04-15,14.60
2015-04-16,14.54
2015-04-17,14.47
2015-04-20,15.39
2015-04-21,15.04
2015-04-22,15.79
2015-04-23,15.87
2015-04-24,16.39
2015-04-27,16.42
2015-04-28,16.19
2015-04-29,15.95
2015-04-30,16.76
2015-05-01,17.29
2015-05-04,17.62
2015-05-05,17.15
2015-05-06,17.53
2015-05-07,17.91
2015-05-08,15.84
2015-05-11,15.94
2015-05-12,15.63
2015-05-13,15.93
2015-05-14,16.21
2015-05-15,15.48
2015-05-18,15.81
2015-05-19,15.88
2015-05-20,15.25
2015-05-21,14.62
2015-05-22,14.19
2015-05-25,.
2015-05-26,15.22
2015-05-27,14.08
2015-05-28,14.51
2015-05-29,13.99
2015-06-01,14.88
2015-06-02,14.86
2015-06-03,15.15
2015-06-04,16.01
2015-06-05,15.12
2015-06-08,15.14
2015-06-09,14.83
2015-06-10,14.37
2015-06-11,14.30
2015-06-12,13.99
2015-06-15,14.34
2015-06-16,14.36
2015-06-17,13.58
2015-06-18,13.53
2015-06-19,13.26
2015-06-22,13.85
2015-06-23,13.89
2015-06-24,13.83
2015-06-25,13.12
2015-06-26,13.22
2015-06-29,14.50
2015-06-30,15.34
2015-07-01,14.86
2015-07-02,14.42
2015-07-03,.
2015-07-06,14.25
2015-07-07,15.23
2015-07-08,15.78
2015-07-09,15.47
2015-07-10,14.42
2015-07-13,13.43
2015-07-14,13.25
2015-07-15,14.35
2015-07-16,14.05
2015-07-17,16.32
2015-07-20,19.73
2015-07-21,19.56
2015-07-22,19.59
2015-07-23,19.39
2015-07-24,19.27
2015-07-27,20.06
2015-07-28,18.40
2015-07-29,17.22
2015-07-30,17.07
2015-07-31,16.79
2015-08-03,17.58
2015-08-04,17.24
2015-08-05,17.74
2015-08-06,17.25
2015-08-07,16.59
2015-08-10,16.41
2015-08-11,16.53
2015-08-12,16.80
2015-08-13,15.84
2015-08-14,15.59
2015-08-17,15.40
2015-08-18,15.84
2015-08-19,15.96
2015-08-20,16.87
2015-08-21,18.48
2015-08-24,21.26
2015-08-25,20.20
2015-08-26,20.03
2015-08-27,18.74
2015-08-28,18.80
2015-08-31,19.34
2015-09-01,19.65
2015-09-02,18.65
2015-09-03,18.57
2015-09-04,18.62
2015-09-07,.
2015-09-08,18.31
2015-09-09,17.80
2015-09-10,16.89
2015-09-11,17.38
2015-09-14,17.63
2015-09-15,17.69
2015-09-16,18.05
2015-09-17,16.63
2015-09-18,16.46
2015-09-21,16.59
2015-09-22,17.35
2015-09-23,17.34
2015-09-24,19.26
2015-09-25,18.33
2015-09-28,18.28
2015-09-29,17.67
2015-09-30,17.47
2015-10-01,16.90
2015-10-02,16.71
2015-10-05,16.68
2015-10-06,17.54
2015-10-07,17.13
2015-10-08,16.91
2015-10-09,16.92
2015-10-12,16.24
2015-10-13,17.14
2015-10-14,18.35
2015-10-15,17.90
2015-10-16,16.59
2015-10-19,16.94
2015-10-20,16.79
2015-10-21,15.90
2015-10-22,15.59
2015-10-23,15.59
2015-10-26,15.78
2015-10-27,15.30
2015-10-28,15.63
2015-10-29,15.77
2015-10-30,15.39
2015-11-02,15.28
2015-11-03,17.19
2015-11-04,18.02
2015-11-05,17.82
2015-11-06,17.36
2015-11-09,17.55
2015-11-10,17.36
2015-11-11,17.89
2015-11-12,18.47
2015-11-13,18.29
2015-11-16,18.50
2015-11-17,20.17
2015-11-18,19.40
2015-11-19,18.04
2015-11-20,17.26
2015-11-23,17.70
2015-11-24,16.72
2015-11-25,16.39
2015-11-26,.
2015-11-27,17.16
2015-11-30,16.91
2015-12-01,16.62
2015-12-02,17.36
2015-12-03,17.76
2015-12-04,15.96
2015-12-07,16.23
2015-12-08,16.12
2015-12-09,17.39
2015-12-10,17.07
2015-12-11,18.16
2015-12-14,19.05
2015-12-15,18.09
2015-12-16,15.41
2015-12-17,16.06
2015-12-18,15.06
2015-12-21,15.32
2015-12-22,15.17
2015-12-23,14.94
2015-12-24,15.02
2015-12-25,.
2015-12-28,16.06
2015-12-29,15.22
2015-12-30,15.25
2015-12-31,14.99
2016-01-01,.
2016-01-04,16.07
2016-01-05,15.20
2016-01-06,16.30
2016-01-07,17.42
2016-01-08,17.62
2016-01-11,16.43
2016-01-12,16.61
2016-01-13,16.99
2016-01-14,16.16
2016-01-15,17.42
2016-01-18,.
2016-01-19,16.17
2016-01-20,16.56
2016-01-21,16.77
2016-01-22,15.91
2016-01-25,17.13
2016-01-26,17.26
2016-01-27,16.71
2016-01-28,15.41
2016-01-29,15.73
2016-02-01,16.81
2016-02-02,16.20
2016-02-03,17.84
2016-02-04,17.39
2016-02-05,19.58
2016-02-08,20.38
2016-02-09,21.72
2016-02-10,21.36
2016-02-11,28.37
2016-02-12,24.10
2016-02-15,.
2016-02-16,24.84
2016-02-17,24.53
2016-02-18,26.37
2016-02-19,24.88
2016-02-22,23.31
2016-02-23,23.69
2016-02-24,24.24
2016-02-25,23.36
2016-02-26,21.67
2016-02-29,22.59
2016-03-01,21.97
2016-03-02,22.00
2016-03-03,23.51
2016-03-04,22.31
2016-03-07,22.08
2016-03-08,23.07
2016-03-09,22.31
2016-03-10,23.14
2016-03-11,21.90
2016-03-14,21.14
2016-03-15,19.70
2016-03-16,20.03
2016-03-17,18.99
2016-03-18,18.15
2016-03-21,17.40
2016-03-22,17.62
2016-03-23,18.00
2016-03-24,18.09
2016-03-25,.
2016-03-28,17.53
2016-03-29,19.52
2016-03-30,18.58
2016-03-31,18.45
2016-04-01,18.04
2016-04-04,17.95
2016-04-05,18.16
2016-04-06,17.82
2016-04-07,19.32
2016-04-08,18.74
2016-04-11,19.58
2016-04-12,19.09
2016-04-13,17.96
2016-04-14,17.83
2016-04-15,17.41
2016-04-18,17.30
2016-04-19,17.42
2016-04-20,16.69
2016-04-21,17.90
2016-04-22,17.21
2016-04-25,17.66
2016-04-26,17.43
2016-04-27,16.43
2016-04-28,17.90
2016-04-29,20.23
2016-05-02,19.29
2016-05-03,18.70
2016-05-04,19.47
2016-05-05,18.46
2016-05-06,18.65
2016-05-09,18.65
2016-05-10,18.04
2016-05-11,18.35
2016-05-12,17.84
2016-05-13,18.29
2016-05-16,18.49
2016-05-17,18.17
2016-05-18,18.20
2016-05-19,17.85
2016-05-20,17.00
2016-05-23,16.80
2016-05-24,16.66
2016-05-25,15.98
2016-05-26,15.29
2016-05-27,15.39
2016-05-30,.
2016-05-31,15.83
2016-06-01,15.92
2016-06-02,16.05
2016-06-03,17.45
2016-06-06,17.76
2016-06-07,17.29
2016-06-08,18.76
2016-06-09,20.28
2016-06-10,20.52
2016-06-13,21.11
2016-06-14,20.63
2016-06-15,20.68
2016-06-16,21.95
2016-06-17,22.52
2016-06-20,21.01
2016-06-21,20.65
2016-06-22,22.25
2016-06-23,20.10
2016-06-24,22.20
2016-06-27,22.52
2016-06-28,20.18
2016-06-29,19.26
2016-06-30,18.50
2016-07-01,18.43
2016-07-04,.
2016-07-05,20.09
2016-07-06,21.18
2016-07-07,20.55
2016-07-08,18.79
2016-07-11,18.93
2016-07-12,17.94
2016-07-13,17.61
2016-07-14,17.15
2016-07-15,16.91
2016-07-18,16.96
2016-07-19,16.71
2016-07-20,17.21
2016-07-21,17.77
2016-07-22,17.61
2016-07-25,17.74
2016-07-26,17.45
2016-07-27,16.93
2016-07-28,16.31
2016-07-29,15.80
2016-08-01,16.28
2016-08-02,16.45
2016-08-03,16.18
2016-08-04,16.06
2016-08-05,15.60
2016-08-08,15.49
2016-08-09,14.41
2016-08-10,14.89
2016-08-11,15.37
