DATE,OVXCLS
2015-01-02,54.25
2015-01-05,57.67
2015-01-06,56.45
2015-01-07,53.25
2015-01-08,50.96
2015-01-09,50.07
2015-01-12,53.13
2015-01-13,53.78
2015-01-14,53.17
2015-01-15,57.77
2015-01-16,56.44
2015-01-19,.
2015-01-20,57.99
2015-01-21,55.09
2015-01-22,56.40
2015-01-23,57.62
2015-01-26,56.65
2015-01-27,54.23
2015-01-28,55.18
2015-01-29,54.69
2015-01-30,58.62
2015-02-02,57.84
2015-02-03,59.68
2015-02-04,62.73
2015-02-05,63.14
2015-02-06,60.83
2015-02-09,56.00
2015-02-10,59.29
2015-02-11,60.23
2015-02-12,58.69
2015-02-13,55.53
2015-02-16,.
2015-02-17,56.33
2015-02-18,55.97
2015-02-19,55.75
2015-02-20,54.00
2015-02-23,58.67
2015-02-24,56.27
2015-02-25,54.93
2015-02-26,56.46
2015-02-27,55.85
2015-03-02,54.92
2015-03-03,53.05
2015-03-04,48.92
2015-03-05,47.09
2015-03-06,48.96
2015-03-09,48.99
2015-03-10,50.92
2015-03-11,49.17
2015-03-12,49.59
2015-03-13,54.56
2015-03-16,56.93
2015-03-17,59.85
2015-03-18,53.65
2015-03-19,53.82
2015-03-20,50.84
2015-03-23,49.32
2015-03-24,47.94
2015-03-25,47.03
2015-03-26,49.58
2015-03-27,52.84
2015-03-30,51.98
2015-03-31,53.72
2015-04-01,50.90
2015-04-02,49.84
2015-04-03,.
2015-04-06,48.33
2015-04-07,46.25
2015-04-08,48.10
2015-04-09,46.65
2015-04-10,43.04
2015-04-13,44.20
2015-04-14,44.65
2015-04-15,46.14
2015-04-16,43.48
2015-04-17,42.00
2015-04-20,42.06
2015-04-21,41.04
2015-04-22,39.01
2015-04-23,37.98
2015-04-24,36.61
2015-04-27,37.46
2015-04-28,37.31
2015-04-29,36.68
2015-04-30,36.28
2015-05-01,35.62
2015-05-04,36.20
2015-05-05,36.24
2015-05-06,36.88
2015-05-07,38.13
2015-05-08,35.09
2015-05-11,34.86
2015-05-12,33.74
2015-05-13,34.33
2015-05-14,32.63
2015-05-15,29.95
2015-05-18,30.63
2015-05-19,34.82
2015-05-20,33.70
2015-05-21,31.61
2015-05-22,31.29
2015-05-25,.
2015-05-26,34.66
2015-05-27,35.29
2015-05-28,34.20
2015-05-29,33.74
2015-06-01,35.30
2015-06-02,35.74
2015-06-03,37.40
2015-06-04,38.42
2015-06-05,33.54
2015-06-08,34.04
2015-06-09,33.01
2015-06-10,31.79
2015-06-11,31.76
2015-06-12,31.51
2015-06-15,32.55
2015-06-16,32.39
2015-06-17,32.83
2015-06-18,31.59
2015-06-19,30.40
2015-06-22,30.06
2015-06-23,29.69
2015-06-24,29.60
2015-06-25,29.26
2015-06-26,29.01
2015-06-29,33.64
2015-06-30,32.43
2015-07-01,34.11
2015-07-02,33.80
2015-07-03,.
2015-07-06,40.01
2015-07-07,40.54
2015-07-08,42.20
2015-07-09,42.04
2015-07-10,41.22
2015-07-13,38.08
2015-07-14,36.31
2015-07-15,37.25
2015-07-16,35.92
2015-07-17,34.68
2015-07-20,36.39
2015-07-21,34.97
2015-07-22,37.66
2015-07-23,38.46
2015-07-24,39.00
2015-07-27,41.15
2015-07-28,39.94
2015-07-29,38.59
2015-07-30,37.33
2015-07-31,38.82
2015-08-03,40.91
2015-08-04,40.12
2015-08-05,40.18
2015-08-06,41.54
2015-08-07,41.17
2015-08-10,40.99
2015-08-11,42.16
2015-08-12,42.40
2015-08-13,43.23
2015-08-14,40.92
2015-08-17,40.35
2015-08-18,39.48
2015-08-19,41.29
2015-08-20,42.58
2015-08-21,44.66
2015-08-24,50.11
2015-08-25,49.00
2015-08-26,46.87
2015-08-27,49.03
2015-08-28,51.56
2015-08-31,54.37
2015-09-01,57.51
2015-09-02,53.75
2015-09-03,50.44
2015-09-04,49.29
2015-09-07,.
2015-09-08,50.14
2015-09-09,49.50
2015-09-10,50.05
2015-09-11,49.63
2015-09-14,49.81
2015-09-15,51.14
2015-09-16,50.24
2015-09-17,45.34
2015-09-18,45.84
2015-09-21,47.51
2015-09-22,48.90
2015-09-23,51.12
2015-09-24,49.44
2015-09-25,47.71
2015-09-28,49.46
2015-09-29,49.32
2015-09-30,45.52
2015-10-01,44.61
2015-10-02,42.86
2015-10-05,43.03
2015-10-06,44.14
2015-10-07,43.26
2015-10-08,43.28
2015-10-09,42.80
2015-10-12,44.90
2015-10-13,45.37
2015-10-14,42.70
2015-10-15,41.99
2015-10-16,39.58
2015-10-19,40.74
2015-10-20,41.72
2015-10-21,41.77
2015-10-22,40.22
2015-10-23,41.51
2015-10-26,42.99
2015-10-27,44.77
2015-10-28,44.29
2015-10-29,43.63
2015-10-30,41.95
2015-11-02,41.88
2015-11-03,41.27
2015-11-04,41.54
2015-11-05,39.29
2015-11-06,39.85
2015-11-09,41.34
2015-11-10,39.34
2015-11-11,41.92
2015-11-12,43.93
2015-11-13,46.26
2015-11-16,47.44
2015-11-17,46.63
2015-11-18,43.53
