DATE,VXEEMCLS
2015-01-02,21.65
2015-01-05,24.23
2015-01-06,24.74
2015-01-07,23.51
2015-01-08,22.28
2015-01-09,21.14
2015-01-12,22.34
2015-01-13,21.74
2015-01-14,23.96
2015-01-15,24.07
2015-01-16,21.37
2015-01-19,.
2015-01-20,21.59
2015-01-21,20.54
2015-01-22,19.36
2015-01-23,18.13
2015-01-26,18.30
2015-01-27,19.04
2015-01-28,21.36
2015-01-29,21.75
2015-01-30,24.34
2015-02-02,24.33
2015-02-03,22.18
2015-02-04,22.42
2015-02-05,21.83
2015-02-06,21.69
2015-02-09,22.72
2015-02-10,21.88
2015-02-11,22.16
2015-02-12,19.78
2015-02-13,18.82
2015-02-16,.
2015-02-17,20.28
2015-02-18,20.14
2015-02-19,19.46
2015-02-20,17.41
2015-02-23,17.90
2015-02-24,17.10
2015-02-25,17.19
2015-02-26,17.42
2015-02-27,16.54
2015-03-02,16.63
2015-03-03,17.16
2015-03-04,18.13
2015-03-05,18.24
2015-03-06,19.15
2015-03-09,19.87
2015-03-10,21.44
2015-03-11,20.57
2015-03-12,19.92
2015-03-13,21.14
2015-03-16,20.99
2015-03-17,20.84
2015-03-18,18.63
2015-03-19,19.90
2015-03-20,17.58
2015-03-23,17.57
2015-03-24,17.06
2015-03-25,18.89
2015-03-26,19.95
2015-03-27,19.16
2015-03-30,18.48
2015-03-31,19.07
2015-04-01,19.26
2015-04-02,18.53
2015-04-03,.
2015-04-06,19.01
2015-04-07,18.49
2015-04-08,19.94
2015-04-09,20.49
2015-04-10,18.76
2015-04-13,19.44
2015-04-14,18.63
2015-04-15,18.16
2015-04-16,17.47
2015-04-17,19.38
2015-04-20,19.44
2015-04-21,19.30
2015-04-22,18.76
2015-04-23,18.89
2015-04-24,18.62
2015-04-27,19.23
2015-04-28,18.73
2015-04-29,19.14
2015-04-30,19.98
2015-05-01,18.30
2015-05-04,18.07
2015-05-05,19.74
2015-05-06,20.98
2015-05-07,20.87
2015-05-08,18.21
2015-05-11,17.63
2015-05-12,19.29
2015-05-13,18.32
2015-05-14,17.41
2015-05-15,15.99
2015-05-18,17.51
2015-05-19,17.52
2015-05-20,16.79
2015-05-21,16.63
2015-05-22,15.87
2015-05-25,.
2015-05-26,19.13
2015-05-27,18.47
2015-05-28,18.97
2015-05-29,18.71
2015-06-01,19.48
2015-06-02,18.82
2015-06-03,18.62
2015-06-04,20.20
2015-06-05,19.73
2015-06-08,20.56
2015-06-09,20.21
2015-06-10,18.08
2015-06-11,17.88
2015-06-12,18.68
2015-06-15,20.11
2015-06-16,20.31
2015-06-17,18.90
2015-06-18,18.21
2015-06-19,17.52
2015-06-22,17.05
2015-06-23,16.21
2015-06-24,17.90
2015-06-25,18.10
2015-06-26,18.94
2015-06-29,22.16
2015-06-30,21.42
2015-07-01,21.27
2015-07-02,20.61
2015-07-03,.
2015-07-06,22.56
2015-07-07,23.35
2015-07-08,29.47
2015-07-09,27.43
2015-07-10,24.16
2015-07-13,20.88
2015-07-14,19.29
2015-07-15,19.09
2015-07-16,17.78
2015-07-17,17.64
2015-07-20,18.47
2015-07-21,17.83
2015-07-22,18.05
2015-07-23,18.46
2015-07-24,20.44
2015-07-27,24.70
2015-07-28,21.67
2015-07-29,20.11
2015-07-30,21.16
2015-07-31,21.04
2015-08-03,23.07
2015-08-04,22.60
2015-08-05,22.15
2015-08-06,23.57
2015-08-07,22.67
2015-08-10,22.33
2015-08-11,25.12
2015-08-12,26.61
2015-08-13,25.82
2015-08-14,24.39
2015-08-17,25.13
2015-08-18,25.67
2015-08-19,27.29
2015-08-20,30.02
2015-08-21,33.30
2015-08-24,55.17
2015-08-25,44.65
2015-08-26,36.79
2015-08-27,32.62
2015-08-28,37.18
2015-08-31,37.14
2015-09-01,42.92
2015-09-02,37.92
2015-09-03,37.43
2015-09-04,41.72
2015-09-07,.
2015-09-08,37.38
2015-09-09,35.12
2015-09-10,35.61
2015-09-11,35.53
2015-09-14,35.24
2015-09-15,33.97
2015-09-16,31.65
2015-09-17,28.68
2015-09-18,31.30
2015-09-21,29.66
2015-09-22,31.79
2015-09-23,32.11
2015-09-24,33.94
2015-09-25,32.81
2015-09-28,36.29
2015-09-29,36.11
2015-09-30,33.32
2015-10-01,32.02
2015-10-02,30.63
2015-10-05,28.59
2015-10-06,28.42
2015-10-07,28.09
2015-10-08,26.97
2015-10-09,26.90
2015-10-12,25.81
2015-10-13,27.54
2015-10-14,27.20
2015-10-15,24.94
2015-10-16,23.52
2015-10-19,24.03
2015-10-20,23.95
2015-10-21,24.29
2015-10-22,22.66
2015-10-23,22.43
2015-10-26,23.77
2015-10-27,24.34
2015-10-28,24.50
2015-10-29,24.49
2015-10-30,22.52
2015-11-02,21.37
2015-11-03,21.41
2015-11-04,22.12
2015-11-05,22.29
2015-11-06,22.80
2015-11-09,24.49
2015-11-10,24.09
2015-11-11,23.75
2015-11-12,24.62
2015-11-13,25.92
2015-11-16,24.15
2015-11-17,24.00
2015-11-18,22.49
2015-11-19,22.54
2015-11-20,21.13
2015-11-23,21.49
2015-11-24,21.62
2015-11-25,21.95
2015-11-26,.
2015-11-27,23.44
2015-11-30,24.25
2015-12-01,23.71
2015-12-02,24.22
2015-12-03,24.53
2015-12-04,22.94
2015-12-07,24.26
2015-12-08,26.37
2015-12-09,27.60
2015-12-10,26.25
2015-12-11,30.43
2015-12-14,29.37
2015-12-15,28.09
2015-12-16,24.84
2015-12-17,24.19
2015-12-18,25.04
2015-12-21,24.34
2015-12-22,23.20
2015-12-23,22.49
2015-12-24,22.06
2015-12-25,.
2015-12-28,23.61
2015-12-29,22.85
2015-12-30,23.43
2015-12-31,22.91
2016-01-01,.
2016-01-04,26.53
2016-01-05,25.28
2016-01-06,26.34
2016-01-07,32.59
2016-01-08,34.56
2016-01-11,32.33
2016-01-12,29.97
2016-01-13,30.87
2016-01-14,30.07
2016-01-15,35.24
2016-01-18,.
2016-01-19,33.54
2016-01-20,36.41
2016-01-21,35.67
2016-01-22,31.69
2016-01-25,32.56
2016-01-26,31.59
2016-01-27,30.56
2016-01-28,30.18
2016-01-29,28.41
2016-02-01,29.22
2016-02-02,31.73
2016-02-03,31.59
2016-02-04,31.56
2016-02-05,32.79
2016-02-08,35.99
2016-02-09,37.44
2016-02-10,36.22
2016-02-11,39.31
2016-02-12,36.89
2016-02-15,.
2016-02-16,34.29
2016-02-17,32.69
2016-02-18,32.15
2016-02-19,30.90
2016-02-22,28.66
2016-02-23,29.49
2016-02-24,29.87
2016-02-25,29.18
2016-02-26,29.84
2016-02-29,28.76
2016-03-01,26.66
2016-03-02,25.32
2016-03-03,24.66
2016-03-04,25.24
2016-03-07,25.82
2016-03-08,27.34
2016-03-09,26.77
2016-03-10,25.64
2016-03-11,24.03
2016-03-14,24.75
2016-03-15,25.78
2016-03-16,24.02
2016-03-17,24.07
2016-03-18,23.39
2016-03-21,23.49
2016-03-22,22.96
2016-03-23,23.78
2016-03-24,23.58
2016-03-25,.
2016-03-28,24.36
2016-03-29,24.13
2016-03-30,23.38
2016-03-31,22.73
2016-04-01,22.67
2016-04-04,23.13
2016-04-05,24.08
2016-04-06,22.90
2016-04-07,24.69
2016-04-08,23.43
2016-04-11,22.59
2016-04-12,22.64
2016-04-13,22.93
2016-04-14,22.59
2016-04-15,21.93
2016-04-18,21.49
2016-04-19,20.93
2016-04-20,21.63
2016-04-21,21.68
2016-04-22,22.07
2016-04-25,22.57
2016-04-26,22.15
2016-04-27,21.44
2016-04-28,22.14
2016-04-29,22.87
2016-05-02,23.36
2016-05-03,25.04
2016-05-04,25.92
2016-05-05,25.10
2016-05-06,24.24
2016-05-09,26.07
2016-05-10,24.05
2016-05-11,23.66
2016-05-12,23.24
2016-05-13,24.59
2016-05-16,23.85
2016-05-17,24.17
2016-05-18,25.36
2016-05-19,25.85
2016-05-20,23.60
2016-05-23,23.11
2016-05-24,22.72
2016-05-25,22.07
2016-05-26,21.61
2016-05-27,21.26
2016-05-30,.
2016-05-31,22.45
2016-06-01,21.97
2016-06-02,20.91
2016-06-03,20.44
2016-06-06,20.83
2016-06-07,20.56
2016-06-08,20.19
2016-06-09,20.98
2016-06-10,24.22
2016-06-13,28.29
2016-06-14,28.29
2016-06-15,27.27
2016-06-16,27.28
2016-06-17,27.22
2016-06-20,26.74
2016-06-21,26.28
2016-06-22,29.67
2016-06-23,25.68
2016-06-24,29.58
2016-06-27,29.17
2016-06-28,25.15
2016-06-29,24.44
2016-06-30,23.69
2016-07-01,22.54
2016-07-04,.
2016-07-05,24.78
2016-07-06,24.17
2016-07-07,23.72
2016-07-08,21.55
2016-07-11,20.35
2016-07-12,20.81
2016-07-13,20.46
2016-07-14,21.09
2016-07-15,20.74
2016-07-18,20.50
2016-07-19,20.41
2016-07-20,20.20
2016-07-21,20.59
2016-07-22,19.95
2016-07-25,21.53
2016-07-26,21.31
2016-07-27,20.74
2016-07-28,20.12
2016-07-29,19.19
2016-08-01,19.78
2016-08-02,20.99
2016-08-03,20.53
2016-08-04,19.61
2016-08-05,18.36
2016-08-08,18.64
2016-08-09,18.29
2016-08-10,18.80
2016-08-11,18.66
2016-08-12,18.72
2016-08-15,18.62
2016-08-16,19.98
2016-08-17,19.90
2016-08-18,18.83
2016-08-19,19.09
2016-08-22,20.37
2016-08-23,20.40
2016-08-24,20.98
2016-08-25,21.02
2016-08-26,20.86
2016-08-29,20.12
2016-08-30,20.50
2016-08-31,21.55
2016-09-01,21.27
2016-09-02,19.51
2016-09-05,.
2016-09-06,19.62
2016-09-07,19.64
2016-09-08,19.74
2016-09-09,23.82
2016-09-12,23.38
2016-09-13,26.56
2016-09-14,26.04
2016-09-15,24.41
2016-09-16,23.38
2016-09-19,23.31
2016-09-20,23.02
2016-09-21,19.81
2016-09-22,19.06
2016-09-23,20.67
2016-09-26,22.76
2016-09-27,21.22
2016-09-28,20.77
2016-09-29,23.72
2016-09-30,22.12
2016-10-03,22.50
2016-10-04,23.57
2016-10-05,22.51
2016-10-06,22.59
2016-10-07,22.69
2016-10-10,22.26
2016-10-11,24.39
2016-10-12,23.81
2016-10-13,24.50
2016-10-14,23.45
2016-10-17,23.02
2016-10-18,21.52
2016-10-19,21.07
2016-10-20,20.22
2016-10-21,19.65
2016-10-24,19.93
2016-10-25,19.76
2016-10-26,21.08
2016-10-27,21.74
2016-10-28,23.35
2016-10-31,24.04
2016-11-01,26.09
2016-11-02,26.45
2016-11-03,29.17
2016-11-04,28.98
2016-11-07,26.20
2016-11-08,26.38
2016-11-09,23.18
2016-11-10,26.78
2016-11-11,28.99
2016-11-14,29.21
2016-11-15,24.40
2016-11-16,23.79
2016-11-17,22.29
2016-11-18,21.79
2016-11-21,20.59
2016-11-22,20.34
2016-11-23,21.58
2016-11-24,.
2016-11-25,21.27
2016-11-28,22.22
2016-11-29,21.99
2016-11-30,21.35
2016-12-01,22.92
2016-12-02,22.94
2016-12-05,20.85
2016-12-06,19.98
2016-12-07,20.02
2016-12-08,20.42
2016-12-09,19.55
2016-12-12,19.83
2016-12-13,19.01
2016-12-14,21.67
2016-12-15,21.14
2016-12-16,19.31
2016-12-19,19.40
2016-12-20,19.51
2016-12-21,19.17
2016-12-22,20.48
2016-12-23,19.27
2016-12-26,.
2016-12-27,20.20
2016-12-28,20.43
2016-12-29,21.13
2016-12-30,22.33
2017-01-02,.
2017-01-03,21.63
2017-01-04,20.24
2017-01-05,19.46
2017-01-06,19.21
2017-01-09,19.14
2017-01-10,19.05
2017-01-11,18.89
2017-01-12,19.18
2017-01-13,18.23
2017-01-16,.
2017-01-17,18.68
2017-01-18,18.63
2017-01-19,18.88
2017-01-20,16.96
2017-01-23,17.71
2017-01-24,17.39
2017-01-25,17.05
2017-01-26,17.43
2017-01-27,16.73
2017-01-30,18.56
2017-01-31,18.62
2017-02-01,17.95
2017-02-02,17.30
2017-02-03,16.45
2017-02-06,16.76
2017-02-07,17.38
2017-02-08,17.11
2017-02-09,16.81
2017-02-10,16.25
2017-02-13,16.36
2017-02-14,15.72
2017-02-15,16.05
2017-02-16,15.86
2017-02-17,15.23
2017-02-20,.
2017-02-21,16.20
2017-02-22,16.68
2017-02-23,16.70
2017-02-24,17.52
2017-02-27,17.70
2017-02-28,18.67
2017-03-01,18.06
2017-03-02,19.06
2017-03-03,17.81
2017-03-06,17.53
2017-03-07,16.71
2017-03-08,17.67
2017-03-09,18.31
2017-03-10,17.07
2017-03-13,15.21
2017-03-14,15.75
2017-03-15,14.93
2017-03-16,14.93
2017-03-17,13.97
2017-03-20,15.49
2017-03-21,17.95
2017-03-22,17.75
2017-03-23,18.28
2017-03-24,17.81
2017-03-27,18.05
2017-03-28,17.35
2017-03-29,16.21
2017-03-30,15.90
2017-03-31,15.99
2017-04-03,16.45
2017-04-04,16.72
2017-04-05,16.60
2017-04-06,16.94
2017-04-07,17.53
2017-04-10,18.21
2017-04-11,19.56
2017-04-12,19.33
2017-04-13,20.11
2017-04-14,.
2017-04-17,20.36
2017-04-18,20.72
2017-04-19,20.53
2017-04-20,20.09
2017-04-21,20.29
2017-04-24,15.11
2017-04-25,15.13
2017-04-26,15.03
2017-04-27,15.01
2017-04-28,14.76
2017-05-01,14.81
2017-05-02,15.13
2017-05-03,15.87
2017-05-04,17.47
2017-05-05,16.60
2017-05-08,16.19
2017-05-09,16.23
2017-05-10,15.53
2017-05-11,16.23
2017-05-12,16.47
2017-05-15,16.21
2017-05-16,16.35
2017-05-17,20.53
2017-05-18,20.48
2017-05-19,17.98
2017-05-22,17.00
2017-05-23,16.55
2017-05-24,16.24
2017-05-25,15.64
2017-05-26,15.77
2017-05-29,.
2017-05-30,16.69
2017-05-31,17.06
2017-06-01,16.30
2017-06-02,15.80
2017-06-05,16.03
2017-06-06,16.14
2017-06-07,16.13
2017-06-08,15.64
2017-06-09,16.16
2017-06-12,16.54
2017-06-13,16.16
2017-06-14,16.41
2017-06-15,15.92
2017-06-16,15.39
2017-06-19,13.73
2017-06-20,14.62
2017-06-21,14.26
2017-06-22,13.77
2017-06-23,13.28
2017-06-26,14.38
2017-06-27,15.95
2017-06-28,15.30
2017-06-29,17.10
2017-06-30,15.97
2017-07-03,15.92
2017-07-04,.
2017-07-05,16.68
2017-07-06,17.98
2017-07-07,16.87
2017-07-10,16.06
2017-07-11,16.44
2017-07-12,15.28
2017-07-13,14.62
2017-07-14,14.36
2017-07-17,14.35
2017-07-18,14.14
2017-07-19,14.19
2017-07-20,14.24
2017-07-21,14.32
2017-07-24,14.71
2017-07-25,14.73
2017-07-26,14.16
2017-07-27,14.78
2017-07-28,14.60
2017-07-31,14.52
2017-08-01,14.47
2017-08-02,14.50
2017-08-03,15.24
2017-08-04,14.69
2017-08-07,14.99
2017-08-08,15.68
2017-08-09,17.12
2017-08-10,22.21
2017-08-11,20.83
2017-08-14,17.45
2017-08-15,17.00
2017-08-16,16.01
2017-08-17,21.46
2017-08-18,19.81
2017-08-21,18.26
2017-08-22,16.93
2017-08-23,16.77
2017-08-24,16.69
2017-08-25,16.43
2017-08-28,16.85
2017-08-29,17.29
2017-08-30,17.18
2017-08-31,16.52
2017-09-01,15.45
2017-09-04,.
2017-09-05,18.23
2017-09-06,17.19
2017-09-07,16.59
2017-09-08,17.77
2017-09-11,15.28
2017-09-12,15.49
2017-09-13,14.85
2017-09-14,14.29
2017-09-15,13.93
2017-09-18,14.42
2017-09-19,15.48
2017-09-20,15.42
2017-09-21,15.42
2017-09-22,15.24
2017-09-25,17.67
2017-09-26,17.74
2017-09-27,17.24
2017-09-28,16.34
2017-09-29,16.03
2017-10-02,16.38
2017-10-03,15.88
2017-10-04,15.64
2017-10-05,15.33
2017-10-06,15.91
2017-10-09,16.19
2017-10-10,15.92
2017-10-11,15.44
2017-10-12,15.53
2017-10-13,14.7
2017-10-16,15.39
2017-10-17,15.07
2017-10-18,15.55
2017-10-19,15.44
2017-10-20,14.67
2017-10-23,16.49
2017-10-24,16.78
2017-10-25,17.42
2017-10-26,17.68
2017-10-27,16.53
2017-10-30,18.17
2017-10-31,17.07
2017-11-01,16.49
2017-11-02,15.85
2017-11-03,16.3
2017-11-06,15.99
2017-11-07,16.91
2017-11-08,16.46
2017-11-09,17.31
2017-11-10,16.73
2017-11-13,17.03
2017-11-14,17.31
2017-11-15,18.43
2017-11-16,17.52
2017-11-17,16.32
2017-11-20,16.91
2017-11-21,16.72
2017-11-22,16.36
2017-11-23,.
2017-11-24,16.37
2017-11-27,17.85
2017-11-28,17.84
2017-11-29,18.84
2017-11-30,18.92
2017-12-01,19.75
2017-12-04,19.09
2017-12-05,17.94
2017-12-06,18.98
2017-12-07,18.14
2017-12-08,17.14
2017-12-11,15.31
2017-12-12,16.88
2017-12-13,15.01
2017-12-14,15.22
2017-12-15,14.23
2017-12-18,14.13
2017-12-19,14.48
2017-12-20,14.11
2017-12-21,13.49
2017-12-22,13.66
2017-12-25,.
2017-12-26,14.71
2017-12-27,14.62
2017-12-28,15.56
2017-12-29,16.25
2018-01-01,.
2018-01-02,16.64
2018-01-03,15.88
2018-01-04,16.04
2018-01-05,15.84
2018-01-08,16.06
2018-01-09,16.59
2018-01-10,16.53
2018-01-11,15.44
2018-01-12,15.25
2018-01-15,.
2018-01-16,16.42
2018-01-17,16.98
2018-01-18,16.89
2018-01-19,16.5
2018-01-22,16.8
2018-01-23,17.45
2018-01-24,17.58
2018-01-25,19.18
