DATE,VXEWZCLS
2015-01-02,34.57
2015-01-05,37.12
2015-01-06,36.45
2015-01-07,35.00
2015-01-08,34.32
2015-01-09,33.85
2015-01-12,34.84
2015-01-13,33.99
2015-01-14,35.81
2015-01-15,35.10
2015-01-16,34.16
2015-01-19,.
2015-01-20,34.94
2015-01-21,33.42
2015-01-22,32.04
2015-01-23,32.67
2015-01-26,33.00
2015-01-27,32.91
2015-01-28,34.68
2015-01-29,34.71
2015-01-30,37.75
2015-02-02,37.71
2015-02-03,35.74
2015-02-04,36.30
2015-02-05,35.61
2015-02-06,36.96
2015-02-09,38.05
2015-02-10,39.10
2015-02-11,40.44
2015-02-12,38.43
2015-02-13,36.97
2015-02-16,.
2015-02-17,37.44
2015-02-18,37.78
2015-02-19,36.02
2015-02-20,34.56
2015-02-23,34.54
2015-02-24,33.52
2015-02-25,33.69
2015-02-26,33.61
2015-02-27,32.70
2015-03-02,34.32
2015-03-03,34.15
2015-03-04,35.42
2015-03-05,35.04
2015-03-06,36.19
2015-03-09,38.13
2015-03-10,39.09
2015-03-11,38.28
2015-03-12,37.59
2015-03-13,40.17
2015-03-16,40.30
2015-03-17,39.41
2015-03-18,38.89
2015-03-19,38.84
2015-03-20,37.08
2015-03-23,37.10
2015-03-24,37.23
2015-03-25,38.51
2015-03-26,38.52
2015-03-27,36.93
2015-03-30,36.16
2015-03-31,35.00
2015-04-01,35.92
2015-04-02,35.79
2015-04-03,.
2015-04-06,36.33
2015-04-07,35.59
2015-04-08,34.37
2015-04-09,34.58
2015-04-10,34.45
2015-04-13,34.85
2015-04-14,34.52
2015-04-15,33.85
2015-04-16,33.57
2015-04-17,34.02
2015-04-20,34.16
2015-04-21,33.80
2015-04-22,32.80
2015-04-23,31.76
2015-04-24,31.42
2015-04-27,32.17
2015-04-28,32.09
2015-04-29,32.63
2015-04-30,32.87
2015-05-01,32.24
2015-05-04,32.72
2015-05-05,32.53
2015-05-06,32.73
2015-05-07,32.67
2015-05-08,30.49
2015-05-11,30.61
2015-05-12,30.76
2015-05-13,29.63
2015-05-14,29.50
2015-05-15,28.84
2015-05-18,29.41
2015-05-19,29.76
2015-05-20,29.37
2015-05-21,29.08
2015-05-22,28.99
2015-05-25,.
2015-05-26,31.56
2015-05-27,31.56
2015-05-28,31.94
2015-05-29,32.07
2015-06-01,32.52
2015-06-02,31.66
2015-06-03,31.32
2015-06-04,31.56
2015-06-05,31.62
2015-06-08,31.65
2015-06-09,31.34
2015-06-10,30.29
2015-06-11,30.63
2015-06-12,31.28
2015-06-15,32.01
2015-06-16,31.32
2015-06-17,30.33
2015-06-18,30.01
2015-06-19,29.77
2015-06-22,29.17
2015-06-23,28.15
2015-06-24,27.63
2015-06-25,29.14
2015-06-26,29.22
2015-06-29,30.83
2015-06-30,30.30
2015-07-01,29.62
2015-07-02,29.35
2015-07-03,.
2015-07-06,31.27
2015-07-07,31.68
2015-07-08,33.47
2015-07-09,32.33
2015-07-10,31.52
2015-07-13,29.23
2015-07-14,29.09
2015-07-15,29.08
2015-07-16,28.52
2015-07-17,30.06
2015-07-20,31.18
2015-07-21,31.37
2015-07-22,32.37
2015-07-23,35.24
2015-07-24,38.08
2015-07-27,40.66
2015-07-28,39.66
2015-07-29,36.61
2015-07-30,37.08
2015-07-31,36.33
2015-08-03,37.72
2015-08-04,37.34
2015-08-05,37.30
2015-08-06,38.95
2015-08-07,39.88
2015-08-10,39.66
2015-08-11,40.74
2015-08-12,40.93
2015-08-13,41.40
2015-08-14,40.51
2015-08-17,39.48
2015-08-18,39.42
2015-08-19,40.05
2015-08-20,40.53
2015-08-21,48.76
2015-08-24,52.03
2015-08-25,50.58
2015-08-26,46.01
2015-08-27,43.32
2015-08-28,46.13
2015-08-31,48.25
2015-09-01,55.32
2015-09-02,53.65
2015-09-03,52.88
2015-09-04,55.87
2015-09-07,.
2015-09-08,53.57
2015-09-09,52.10
2015-09-10,53.91
2015-09-11,53.11
2015-09-14,53.68
2015-09-15,52.46
2015-09-16,49.34
2015-09-17,47.23
2015-09-18,48.97
2015-09-21,50.22
2015-09-22,52.61
2015-09-23,55.07
2015-09-24,58.54
2015-09-25,55.48
2015-09-28,59.38
2015-09-29,59.33
2015-09-30,55.23
2015-10-01,53.50
2015-10-02,51.42
2015-10-05,49.44
2015-10-06,48.70
2015-10-07,48.96
2015-10-08,47.95
2015-10-09,46.80
2015-10-12,48.57
2015-10-13,51.11
2015-10-14,49.84
2015-10-15,49.50
2015-10-16,49.39
2015-10-19,49.86
2015-10-20,48.39
2015-10-21,48.22
2015-10-22,46.94
2015-10-23,46.51
2015-10-26,47.26
2015-10-27,46.05
2015-10-28,45.86
2015-10-29,45.56
2015-10-30,43.32
2015-11-02,42.69
2015-11-03,40.44
2015-11-04,41.75
2015-11-05,41.20
2015-11-06,41.63
2015-11-09,43.67
2015-11-10,44.01
2015-11-11,44.28
2015-11-12,45.55
2015-11-13,46.71
2015-11-16,45.75
2015-11-17,44.88
2015-11-18,42.29
2015-11-19,40.41
2015-11-20,40.71
2015-11-23,40.62
2015-11-24,40.15
2015-11-25,42.73
2015-11-26,.
2015-11-27,43.22
2015-11-30,45.98
2015-12-01,46.20
2015-12-02,47.68
2015-12-03,45.72
2015-12-04,45.00
2015-12-07,46.10
2015-12-08,49.56
2015-12-09,48.10
2015-12-10,50.05
2015-12-11,54.01
2015-12-14,54.39
2015-12-15,50.56
2015-12-16,48.42
2015-12-17,48.09
2015-12-18,50.07
2015-12-21,49.30
2015-12-22,45.12
2015-12-23,42.10
2015-12-24,41.40
2015-12-25,.
2015-12-28,42.88
2015-12-29,41.62
2015-12-30,43.55
2015-12-31,43.79
2016-01-01,.
2016-01-04,46.92
2016-01-05,45.14
2016-01-06,45.43
2016-01-07,47.33
2016-01-08,47.42
2016-01-11,46.04
2016-01-12,46.10
2016-01-13,46.32
2016-01-14,45.18
2016-01-15,49.81
2016-01-18,.
2016-01-19,49.56
2016-01-20,51.09
2016-01-21,52.29
2016-01-22,49.31
2016-01-25,50.97
2016-01-26,48.86
2016-01-27,46.09
2016-01-28,45.25
2016-01-29,42.95
2016-02-01,44.99
2016-02-02,49.19
2016-02-03,50.97
2016-02-04,50.94
2016-02-05,52.72
2016-02-08,55.70
2016-02-09,56.35
2016-02-10,53.00
2016-02-11,55.61
2016-02-12,53.10
2016-02-15,.
2016-02-16,52.07
2016-02-17,51.26
2016-02-18,49.74
2016-02-19,48.05
2016-02-22,46.92
2016-02-23,47.21
2016-02-24,49.04
