DATE,VXGDXCLS
2015-01-02,49.99
2015-01-05,51.13
2015-01-06,50.34
2015-01-07,49.78
2015-01-08,48.78
2015-01-09,47.80
2015-01-12,48.39
2015-01-13,47.15
2015-01-14,48.33
2015-01-15,51.43
2015-01-16,49.47
2015-01-19,.
2015-01-20,49.90
2015-01-21,49.24
2015-01-22,47.82
2015-01-23,46.26
2015-01-26,46.22
2015-01-27,44.70
2015-01-28,44.34
2015-01-29,45.78
2015-01-30,40.91
2015-02-02,44.60
2015-02-03,43.61
2015-02-04,43.84
2015-02-05,43.26
2015-02-06,44.34
2015-02-09,45.99
2015-02-10,45.71
2015-02-11,46.46
2015-02-12,44.58
2015-02-13,44.32
2015-02-16,.
2015-02-17,45.46
2015-02-18,44.80
2015-02-19,42.52
2015-02-20,41.99
2015-02-23,41.21
2015-02-24,38.13
2015-02-25,37.54
2015-02-26,34.71
2015-02-27,34.24
2015-03-02,34.79
2015-03-03,34.99
2015-03-04,36.94
2015-03-05,36.15
2015-03-06,39.11
2015-03-09,40.53
2015-03-10,41.25
2015-03-11,41.88
2015-03-12,40.30
2015-03-13,41.00
2015-03-16,41.56
2015-03-17,41.42
2015-03-18,39.71
2015-03-19,38.77
2015-03-20,36.79
2015-03-23,37.07
2015-03-24,36.05
2015-03-25,36.10
2015-03-26,36.76
2015-03-27,37.50
2015-03-30,38.16
2015-03-31,37.93
2015-04-01,37.76
2015-04-02,46.17
2015-04-03,.
2015-04-06,36.73
2015-04-07,36.65
2015-04-08,36.74
2015-04-09,37.08
2015-04-10,36.54
2015-04-13,37.45
2015-04-14,37.00
2015-04-15,36.86
2015-04-16,36.54
2015-04-17,36.32
2015-04-20,35.74
2015-04-21,35.53
2015-04-22,35.80
2015-04-23,35.62
2015-04-24,35.65
2015-04-27,35.52
2015-04-28,35.48
2015-04-29,35.33
2015-04-30,35.90
2015-05-01,34.84
2015-05-04,35.45
2015-05-05,35.13
2015-05-06,36.00
2015-05-07,36.38
2015-05-08,33.96
2015-05-11,33.14
2015-05-12,31.91
2015-05-13,32.21
2015-05-14,30.68
2015-05-15,30.31
2015-05-18,29.71
2015-05-19,31.10
2015-05-20,30.59
2015-05-21,30.80
2015-05-22,30.10
2015-05-25,.
2015-05-26,31.82
2015-05-27,31.79
2015-05-28,31.33
2015-05-29,30.85
2015-06-01,31.84
2015-06-02,31.71
2015-06-03,31.70
2015-06-04,32.00
2015-06-05,31.54
2015-06-08,32.41
2015-06-09,31.15
2015-06-10,30.21
2015-06-11,30.09
2015-06-12,30.16
2015-06-15,31.35
2015-06-16,32.05
2015-06-17,30.61
2015-06-18,30.02
2015-06-19,29.76
2015-06-22,30.03
2015-06-23,29.54
2015-06-24,29.29
2015-06-25,28.86
2015-06-26,29.01
2015-06-29,30.05
2015-06-30,30.68
2015-07-01,30.34
2015-07-02,30.51
2015-07-03,.
2015-07-06,31.40
2015-07-07,33.61
2015-07-08,34.45
2015-07-09,34.05
2015-07-10,33.65
2015-07-13,31.13
2015-07-14,30.29
2015-07-15,31.09
2015-07-16,30.96
2015-07-17,34.73
2015-07-20,45.98
2015-07-21,46.74
2015-07-22,47.31
2015-07-23,49.20
2015-07-24,57.08
2015-07-27,57.87
2015-07-28,54.61
2015-07-29,52.34
2015-07-30,50.21
2015-07-31,48.22
2015-08-03,50.19
2015-08-04,49.00
2015-08-05,49.45
2015-08-06,52.52
2015-08-07,50.34
2015-08-10,50.97
2015-08-11,51.27
2015-08-12,50.38
2015-08-13,52.35
2015-08-14,51.51
2015-08-17,52.80
2015-08-18,52.33
2015-08-19,52.40
2015-08-20,52.44
2015-08-21,53.99
2015-08-24,59.80
2015-08-25,60.28
2015-08-26,63.41
2015-08-27,61.48
2015-08-28,62.70
2015-08-31,62.85
2015-09-01,63.95
2015-09-02,63.56
2015-09-03,62.27
2015-09-04,61.58
2015-09-07,.
2015-09-08,59.86
2015-09-09,58.52
2015-09-10,54.37
2015-09-11,53.51
2015-09-14,55.93
2015-09-15,54.54
2015-09-16,59.16
2015-09-17,51.39
2015-09-18,50.42
2015-09-21,48.73
2015-09-22,51.61
2015-09-23,51.14
2015-09-24,53.03
2015-09-25,52.95
2015-09-28,56.32
2015-09-29,56.35
2015-09-30,54.60
2015-10-01,53.89
2015-10-02,55.15
2015-10-05,53.59
2015-10-06,52.41
2015-10-07,51.30
2015-10-08,51.67
2015-10-09,50.48
2015-10-12,51.95
2015-10-13,51.64
2015-10-14,51.87
2015-10-15,50.76
2015-10-16,49.81
2015-10-19,51.20
2015-10-20,51.84
2015-10-21,53.34
2015-10-22,51.18
2015-10-23,51.34
2015-10-26,51.26
2015-10-27,50.70
2015-10-28,51.25
2015-10-29,48.65
2015-10-30,48.77
2015-11-02,48.57
2015-11-03,48.30
2015-11-04,47.94
2015-11-05,48.44
2015-11-06,48.68
2015-11-09,49.35
2015-11-10,49.62
2015-11-11,49.63
2015-11-12,49.87
2015-11-13,50.17
2015-11-16,47.39
2015-11-17,49.00
2015-11-18,48.72
2015-11-19,48.84
2015-11-20,48.52
2015-11-23,49.69
2015-11-24,48.06
2015-11-25,47.02
2015-11-26,.
2015-11-27,47.77
2015-11-30,48.48
2015-12-01,46.85
2015-12-02,47.31
2015-12-03,48.07
2015-12-04,45.50
2015-12-07,47.12
2015-12-08,47.60
2015-12-09,48.13
2015-12-10,47.56
2015-12-11,49.06
2015-12-14,51.61
2015-12-15,51.08
2015-12-16,48.07
2015-12-17,49.81
2015-12-18,50.23
2015-12-21,45.65
2015-12-22,44.60
2015-12-23,43.79
2015-12-24,42.10
2015-12-25,.
2015-12-28,43.98
2015-12-29,43.00
2015-12-30,42.85
2015-12-31,43.17
2016-01-01,.
2016-01-04,45.05
2016-01-05,43.77
2016-01-06,44.26
2016-01-07,45.68
2016-01-08,44.98
2016-01-11,43.85
2016-01-12,44.95
