DATE,VXSLVCLS
2015-01-02,35.19
2015-01-05,35.12
2015-01-06,33.95
2015-01-07,32.90
2015-01-08,32.13
2015-01-09,30.76
2015-01-12,30.36
2015-01-13,31.72
2015-01-14,33.45
2015-01-15,35.71
2015-01-16,38.07
2015-01-19,.
2015-01-20,37.74
2015-01-21,37.14
2015-01-22,34.45
2015-01-23,33.80
2015-01-26,33.58
2015-01-27,33.72
2015-01-28,32.91
2015-01-29,36.28
2015-01-30,34.86
2015-02-02,34.69
2015-02-03,33.89
2015-02-04,33.24
2015-02-05,33.71
2015-02-06,34.34
2015-02-09,33.89
2015-02-10,33.74
2015-02-11,33.58
2015-02-12,32.33
2015-02-13,31.81
2015-02-16,.
2015-02-17,35.83
2015-02-18,35.23
2015-02-19,33.72
2015-02-20,35.04
2015-02-23,34.22
2015-02-24,33.38
2015-02-25,31.82
2015-02-26,31.26
2015-02-27,30.52
2015-03-02,31.55
2015-03-03,31.35
2015-03-04,30.60
2015-03-05,30.67
2015-03-06,31.14
2015-03-09,31.53
2015-03-10,31.11
2015-03-11,33.07
2015-03-12,32.52
2015-03-13,31.72
2015-03-16,31.63
2015-03-17,32.18
2015-03-18,31.56
2015-03-19,28.16
2015-03-20,29.27
2015-03-23,29.64
2015-03-24,29.41
2015-03-25,28.30
2015-03-26,28.75
2015-03-27,28.76
2015-03-30,29.02
2015-03-31,28.69
2015-04-01,28.62
2015-04-02,27.97
2015-04-03,.
2015-04-06,27.85
2015-04-07,27.19
2015-04-08,27.78
2015-04-09,28.90
2015-04-10,28.12
2015-04-13,27.68
2015-04-14,27.25
2015-04-15,26.48
2015-04-16,26.83
2015-04-17,26.75
2015-04-20,27.73
2015-04-21,27.36
2015-04-22,27.66
2015-04-23,27.97
2015-04-24,29.09
2015-04-27,28.20
2015-04-28,27.41
2015-04-29,27.45
2015-04-30,27.39
2015-05-01,27.77
2015-05-04,28.19
2015-05-05,28.66
2015-05-06,28.33
2015-05-07,28.76
2015-05-08,26.70
2015-05-11,26.10
2015-05-12,26.61
2015-05-13,25.94
2015-05-14,26.52
2015-05-15,25.99
2015-05-18,26.47
2015-05-19,27.70
2015-05-20,26.82
2015-05-21,26.07
2015-05-22,25.35
2015-05-25,.
2015-05-26,26.99
2015-05-27,26.31
2015-05-28,26.41
2015-05-29,24.70
2015-06-01,27.25
2015-06-02,26.30
2015-06-03,26.63
2015-06-04,27.92
2015-06-05,26.98
2015-06-08,27.67
2015-06-09,26.53
2015-06-10,26.62
2015-06-11,26.15
2015-06-12,25.92
2015-06-15,26.48
2015-06-16,26.14
2015-06-17,25.10
2015-06-18,24.76
2015-06-19,24.99
2015-06-22,24.33
2015-06-23,24.80
2015-06-24,24.91
2015-06-25,23.49
2015-06-26,22.87
2015-06-29,24.38
2015-06-30,25.08
2015-07-01,24.64
2015-07-02,24.14
2015-07-03,.
2015-07-06,25.00
2015-07-07,30.08
2015-07-08,30.46
2015-07-09,29.49
2015-07-10,27.81
2015-07-13,26.76
2015-07-14,27.34
2015-07-15,28.92
2015-07-16,29.10
2015-07-17,29.66
2015-07-20,32.72
2015-07-21,29.87
2015-07-22,30.23
2015-07-23,29.81
2015-07-24,31.57
2015-07-27,31.90
2015-07-28,29.88
2015-07-29,27.81
2015-07-30,27.74
2015-07-31,27.10
2015-08-03,27.25
2015-08-04,27.52
2015-08-05,28.26
2015-08-06,29.08
2015-08-07,27.73
2015-08-10,27.53
2015-08-11,28.21
2015-08-12,28.16
2015-08-13,28.40
2015-08-14,28.16
2015-08-17,27.37
2015-08-18,28.90
2015-08-19,28.06
2015-08-20,29.21
2015-08-21,31.17
2015-08-24,35.68
2015-08-25,35.90
2015-08-26,37.72
2015-08-27,33.59
2015-08-28,33.70
2015-08-31,33.07
2015-09-01,33.82
2015-09-02,34.02
2015-09-03,33.25
2015-09-04,33.61
2015-09-07,.
2015-09-08,33.37
2015-09-09,33.29
2015-09-10,32.24
2015-09-11,32.66
2015-09-14,33.10
2015-09-15,32.55
2015-09-16,32.70
2015-09-17,31.47
2015-09-18,29.85
2015-09-21,28.72
2015-09-22,30.24
2015-09-23,29.37
2015-09-24,29.60
2015-09-25,28.75
2015-09-28,30.59
2015-09-29,30.50
2015-09-30,30.08
2015-10-01,29.76
2015-10-02,29.68
2015-10-05,30.59
2015-10-06,31.06
2015-10-07,30.22
2015-10-08,30.01
2015-10-09,29.46
2015-10-12,29.81
2015-10-13,29.14
2015-10-14,29.73
