DATE,VXXLECLS
2015-01-05,32.37
2015-01-06,33.31
2015-01-07,32.05
2015-01-08,30.66
2015-01-09,30.15
2015-01-12,31.86
2015-01-13,34.75
2015-01-14,35.29
2015-01-15,35.09
2015-01-16,33.12
2015-01-19,.
2015-01-20,33.00
2015-01-21,30.20
2015-01-22,28.04
2015-01-23,27.61
2015-01-26,27.13
2015-01-27,27.43
2015-01-28,31.86
2015-01-29,31.73
2015-01-30,32.16
2015-02-02,30.95
2015-02-03,29.65
2015-02-04,30.83
2015-02-05,29.72
2015-02-06,29.24
2015-02-09,29.87
2015-02-10,29.67
2015-02-11,29.89
2015-02-12,27.20
2015-02-13,25.80
2015-02-16,.
2015-02-17,27.38
2015-02-18,27.31
2015-02-19,26.39
2015-02-20,25.94
2015-02-23,25.57
2015-02-24,24.40
2015-02-25,23.23
2015-02-26,24.51
2015-02-27,23.77
2015-03-02,24.14
2015-03-03,23.50
2015-03-04,23.67
2015-03-05,23.26
2015-03-06,24.71
2015-03-09,24.44
2015-03-10,25.43
2015-03-11,24.99
2015-03-12,24.12
2015-03-13,24.71
2015-03-16,24.15
2015-03-17,23.71
2015-03-18,23.09
2015-03-19,23.38
2015-03-20,22.01
2015-03-23,21.25
2015-03-24,21.20
2015-03-25,22.16
2015-03-26,22.91
2015-03-27,23.49
2015-03-30,22.22
2015-03-31,22.43
2015-04-01,22.29
2015-04-02,21.87
2015-04-03,.
2015-04-06,21.51
2015-04-07,21.16
2015-04-08,21.36
2015-04-09,20.51
2015-04-10,19.63
2015-04-13,19.79
2015-04-14,19.52
2015-04-15,19.68
2015-04-16,19.17
2015-04-17,19.90
2015-04-20,19.45
2015-04-21,19.97
2015-04-22,19.66
2015-04-23,19.10
2015-04-24,19.77
2015-04-27,20.04
2015-04-28,19.78
2015-04-29,19.67
2015-04-30,20.61
2015-05-01,19.89
2015-05-04,20.78
2015-05-05,21.17
2015-05-06,21.74
2015-05-07,22.54
2015-05-08,20.50
2015-05-11,21.88
2015-05-12,20.68
2015-05-13,20.26
2015-05-14,19.43
2015-05-15,18.23
2015-05-18,18.85
2015-05-19,20.03
2015-05-20,19.48
2015-05-21,18.70
2015-05-22,18.64
2015-05-25,.
2015-05-26,20.19
2015-05-27,20.18
2015-05-28,19.90
2015-05-29,19.17
2015-06-01,19.00
2015-06-02,18.73
2015-06-03,19.37
2015-06-04,20.22
2015-06-05,17.86
2015-06-08,18.69
2015-06-09,18.28
2015-06-10,17.02
2015-06-11,16.62
2015-06-12,16.98
2015-06-15,17.60
2015-06-16,17.11
2015-06-17,17.09
2015-06-18,16.62
2015-06-19,15.96
2015-06-22,15.11
2015-06-23,14.67
2015-06-24,15.19
2015-06-25,16.46
2015-06-26,16.99
2015-06-29,20.00
2015-06-30,19.32
2015-07-01,20.13
2015-07-02,19.96
2015-07-03,.
2015-07-06,21.37
2015-07-07,20.92
2015-07-08,23.31
2015-07-09,23.17
2015-07-10,21.46
2015-07-13,19.06
2015-07-14,17.78
2015-07-15,19.19
2015-07-16,18.19
2015-07-17,19.03
2015-07-20,20.65
2015-07-21,21.02
2015-07-22,21.82
2015-07-23,22.08
2015-07-24,24.39
2015-07-27,26.10
2015-07-28,23.66
2015-07-29,21.81
2015-07-30,21.63
2015-07-31,23.07
2015-08-03,24.75
2015-08-04,24.20
2015-08-05,24.62
2015-08-06,26.19
2015-08-07,27.56
2015-08-10,25.81
2015-08-11,26.63
2015-08-12,27.05
2015-08-13,27.27
2015-08-14,27.25
2015-08-17,26.87
2015-08-18,26.41
2015-08-19,28.03
2015-08-20,31.37
2015-08-21,37.14
2015-08-24,49.77
2015-08-25,44.31
2015-08-26,40.39
2015-08-27,37.58
2015-08-28,37.07
2015-08-31,36.89
2015-09-01,42.00
2015-09-02,38.97
2015-09-03,36.52
2015-09-04,38.67
2015-09-07,.
2015-09-08,36.94
2015-09-09,37.18
2015-09-10,36.60
2015-09-11,36.44
2015-09-14,37.07
2015-09-15,33.66
2015-09-16,31.87
2015-09-17,29.40
2015-09-18,31.73
2015-09-21,30.16
2015-09-22,30.88
2015-09-23,31.27
2015-09-24,31.86
2015-09-25,31.42
2015-09-28,34.75
2015-09-29,34.34
2015-09-30,32.61
2015-10-01,32.59
2015-10-02,30.39
2015-10-05,29.61
2015-10-06,29.14
2015-10-07,28.42
2015-10-08,27.44
2015-10-09,26.59
2015-10-12,26.42
2015-10-13,26.51
2015-10-14,26.03
2015-10-15,24.91
2015-10-16,23.70
2015-10-19,24.78
2015-10-20,24.64
2015-10-21,25.35
2015-10-22,24.08
2015-10-23,24.33
2015-10-26,26.28
2015-10-27,27.86
2015-10-28,26.34
2015-10-29,26.32
2015-10-30,25.34
2015-11-02,24.83
2015-11-03,24.54
2015-11-04,25.55
2015-11-05,26.29
2015-11-06,25.86
2015-11-09,27.47
2015-11-10,27.36
2015-11-11,28.33
2015-11-12,32.03
2015-11-13,33.77
2015-11-16,32.23
2015-11-17,32.68
2015-11-18,31.07
2015-11-19,31.14
2015-11-20,30.26
2015-11-23,29.61
2015-11-24,28.20
2015-11-25,27.44
2015-11-26,.
2015-11-27,28.06
2015-11-30,28.77
2015-12-01,28.25
2015-12-02,31.71
2015-12-03,33.95
2015-12-04,30.17
2015-12-07,33.47
2015-12-08,34.85
2015-12-09,34.83
2015-12-10,34.31
2015-12-11,37.84
2015-12-14,37.88
2015-12-15,34.45
2015-12-16,32.44
2015-12-17,33.02
2015-12-18,33.33
2015-12-21,32.77
2015-12-22,29.73
2015-12-23,28.81
2015-12-24,28.43
2015-12-25,.
2015-12-28,30.09
2015-12-29,29.08
2015-12-30,29.09
2015-12-31,28.97
2016-01-01,.
2016-01-04,31.09
2016-01-05,29.33
2016-01-06,32.26
2016-01-07,36.15
2016-01-08,35.64
2016-01-11,35.13
2016-01-12,35.02
2016-01-13,37.97
2016-01-14,36.26
2016-01-15,40.15
2016-01-18,.
2016-01-19,41.13
2016-01-20,45.10
2016-01-21,42.53
2016-01-22,38.39
2016-01-25,41.27
2016-01-26,39.22
2016-01-27,38.81
2016-01-28,37.71
2016-01-29,35.51
2016-02-01,36.71
2016-02-02,38.87
2016-02-03,38.79
2016-02-04,38.29
2016-02-05,40.31
2016-02-08,43.55
2016-02-09,44.68
2016-02-10,44.91
2016-02-11,47.55
2016-02-12,43.15
2016-02-15,.
2016-02-16,42.42
2016-02-17,39.08
2016-02-18,37.47
2016-02-19,36.40
2016-02-22,33.50
2016-02-23,35.14
2016-02-24,35.64
2016-02-25,35.15
2016-02-26,33.78
2016-02-29,34.30
2016-03-01,32.64
2016-03-02,30.39
2016-03-03,29.71
2016-03-04,30.70
2016-03-07,30.06
2016-03-08,33.19
2016-03-09,32.76
2016-03-10,32.41
2016-03-11,30.04
2016-03-14,30.47
2016-03-15,29.94
2016-03-16,27.17
2016-03-17,26.09
2016-03-18,26.13
2016-03-21,25.57
2016-03-22,25.42
2016-03-23,26.84
2016-03-24,26.89
2016-03-25,.
2016-03-28,27.67
2016-03-29,26.35
2016-03-30,25.19
2016-03-31,24.52
2016-04-01,25.44
2016-04-04,26.18
2016-04-05,27.27
2016-04-06,24.82
2016-04-07,26.50
2016-04-08,24.64
2016-04-11,23.56
2016-04-12,24.99
2016-04-13,23.97
2016-04-14,23.29
2016-04-15,25.21
2016-04-18,22.78
2016-04-19,22.22
2016-04-20,22.97
2016-04-21,23.72
2016-04-22,23.29
2016-04-25,24.98
2016-04-26,24.11
2016-04-27,24.44
2016-04-28,26.23
2016-04-29,26.85
2016-05-02,26.86
2016-05-03,27.54
2016-05-04,28.96
2016-05-05,28.18
2016-05-06,27.30
2016-05-09,28.09
2016-05-10,26.76
2016-05-11,26.02
2016-05-12,25.66
2016-05-13,25.95
2016-05-16,25.38
2016-05-17,25.90
2016-05-18,26.45
2016-05-19,26.24
2016-05-20,24.57
2016-05-23,24.50
2016-05-24,23.53
2016-05-25,22.37
2016-05-26,22.40
2016-05-27,22.00
2016-05-30,.
2016-05-31,22.92
2016-06-01,22.83
2016-06-02,22.25
2016-06-03,21.74
2016-06-06,20.94
2016-06-07,19.94
2016-06-08,20.86
2016-06-09,21.69
2016-06-10,24.11
2016-06-13,26.48
2016-06-14,27.67
2016-06-15,27.24
2016-06-16,27.49
2016-06-17,25.56
2016-06-20,23.64
2016-06-21,22.93
2016-06-22,25.23
2016-06-23,22.94
2016-06-24,27.91
2016-06-27,29.46
2016-06-28,24.95
2016-06-29,22.81
2016-06-30,22.30
2016-07-01,20.76
2016-07-04,.
2016-07-05,23.68
2016-07-06,23.64
2016-07-07,24.38
2016-07-08,21.60
2016-07-11,21.27
2016-07-12,20.24
2016-07-13,19.81
2016-07-14,19.52
2016-07-15,19.00
2016-07-18,19.29
2016-07-19,19.43
2016-07-20,19.68
2016-07-21,20.55
2016-07-22,19.21
2016-07-25,22.20
2016-07-26,21.89
2016-07-27,22.37
2016-07-28,22.27
2016-07-29,20.27
2016-08-01,23.25
2016-08-02,23.35
2016-08-03,22.14
2016-08-04,21.73
2016-08-05,20.81
2016-08-08,20.68
2016-08-09,20.88
2016-08-10,21.54
2016-08-11,20.73
2016-08-12,20.38
2016-08-15,19.98
2016-08-16,20.56
2016-08-17,20.36
2016-08-18,19.42
2016-08-19,20.06
2016-08-22,20.63
2016-08-23,20.15
2016-08-24,21.32
2016-08-25,21.59
2016-08-26,21.51
2016-08-29,20.61
